name,our_pv,scgen_pv,diff
GVQW1,3.65E-98,6.38E-40,-6.38E-40
DNASE1L3,7.48E-93,6.38E-40,-6.38E-40
SNCA,1.04E-98,7.02E-40,-7.02E-40
RP4-539M6.22,1.22E-66,8.69E-40,-8.69E-40
LSM7,1.55E-38,1.66E-38,-1.12E-39
SNRPC,1.55E-38,1.67E-38,-1.20E-39
TRADD,1.55E-38,1.67E-38,-1.20E-39
BBX,1.55E-38,1.67E-38,-1.20E-39
SARS,1.55E-38,1.67E-38,-1.20E-39
CD6,1.55E-38,1.67E-38,-1.20E-39
RP11-119B16.2,2.39E-97,1.28E-39,-1.28E-39
ANKMY2,1.70E-90,1.50E-39,-1.50E-39
TTI1,2.26E-98,2.64E-39,-2.64E-39
ZNF470,2.96E-101,3.18E-39,-3.18E-39
CHST10,1.69E-78,3.18E-39,-3.18E-39
LRRC28,1.22E-95,4.75E-39,-4.75E-39
RP11-339B21.11,1.28E-100,4.95E-39,-4.95E-39
FBXW9,1.04E-98,5.48E-39,-5.48E-39
CYLD,7.50E-38,8.07E-38,-5.71E-39
ATPIF1,7.50E-38,8.07E-38,-5.71E-39
FBL,7.50E-38,8.07E-38,-5.71E-39
RP11-572M11.4,4.63E-102,6.77E-39,-6.77E-39
HIST1H2AD,3.47E-93,6.77E-39,-6.77E-39
RP11-53B2.3,1.27E-62,6.77E-39,-6.77E-39
HLA-DOB,4.20E-57,6.77E-39,-6.77E-39
CST7,5.32E-48,9.66E-39,-9.66E-39
PICK1,2.05E-98,1.15E-38,-1.15E-38
PLEKHA8,7.92E-94,1.15E-38,-1.15E-38
TGFBI,8.16E-39,2.42E-38,-1.60E-38
GZMA,1.04E-40,1.74E-38,-1.73E-38
CEP89,2.26E-98,1.98E-38,-1.98E-38
PIGN,2.96E-101,2.42E-38,-2.42E-38
HIST1H4J,1.28E-100,2.42E-38,-2.42E-38
CA5B,4.58E-100,2.42E-38,-2.42E-38
WHSC1L1,3.59E-37,3.83E-37,-2.46E-38
NDUFA9,3.59E-37,3.85E-37,-2.66E-38
UBQLN2,3.59E-37,3.85E-37,-2.66E-38
FANK1,4.95E-81,3.75E-38,-3.75E-38
ZNF554,3.99E-96,4.10E-38,-4.10E-38
DUSP2,4.85E-62,4.10E-38,-4.10E-38
GPR174,1.48E-42,5.14E-38,-5.14E-38
SPINK1,4.63E-102,5.14E-38,-5.14E-38
AARD,2.33E-100,5.14E-38,-5.14E-38
MIR181A2HG,8.80E-71,5.14E-38,-5.14E-38
FAM53A,3.47E-58,5.14E-38,-5.14E-38
LINC00152,1.12E-86,6.09E-38,-6.09E-38
PLAUR,1.11E-87,6.30E-38,-6.30E-38
RNF149,1.55E-38,8.35E-38,-6.80E-38
ACBD6,2.39E-97,7.09E-38,-7.09E-38
MRP63,3.15E-39,8.83E-38,-8.52E-38
LINC00852,1.67E-37,2.77E-37,-1.10E-37
IFIT5,1.69E-36,1.81E-36,-1.26E-37
ZNF133,2.96E-101,1.80E-37,-1.80E-37
MATR3,7.50E-38,3.63E-37,-2.88E-37
YY2,4.63E-102,3.81E-37,-3.81E-37
C12orf68,5.53E-101,3.81E-37,-3.81E-37
RP3-428L16.2,6.95E-86,3.81E-37,-3.81E-37
FES,5.42E-69,3.81E-37,-3.81E-37
RP11-97C16.1,4.64E-66,3.81E-37,-3.81E-37
AC007349.5,1.27E-62,3.81E-37,-3.81E-37
NRTN,4.20E-57,3.81E-37,-3.81E-37
CCDC28B,1.13E-96,5.10E-37,-5.10E-37
CCT7,7.82E-36,8.40E-36,-5.82E-37
C19orf70,7.82E-36,8.40E-36,-5.82E-37
UBE2N,7.82E-36,8.40E-36,-5.82E-37
LAYN,2.33E-100,6.23E-37,-6.23E-37
RANBP1,7.66E-36,8.36E-36,-7.05E-37
NRGN,2.26E-98,1.04E-36,-1.04E-36
